SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
267,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Dinner on 27 May 2021 organised by Airbus UK.
267,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Ticket to Wales v South Africa on 6 November 2021 from Bute Energy
267,6. Category 6: Financial sponsorship,6,Member,All expenses for 2021 Senedd election paid by Clwyd South CLP with contributions to CLP election support from Unite the union.
267,8. Category 8: Land and property,8,Member,Holiday home in France (occasional rental).
267,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Rhos Male Voice Choir
267,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Vice President - Llangollen Eisteddfod
267,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Member - The Stiwt, Rhos"
267,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Unite the Union
267,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Mold golf club
267,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Plas Madoc leisure centre
