SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
8634,"2. Category 2: Remunerated employment, office, profession etc",2,Partner,"Editor, WJEC (exam board)"
8634,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Ticket and hospitality for Wales v New Zealand rugby match on 30 October 2021 from ITV
8634,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Pencoed RFC rugby jersey
8634,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,2 tickets to Cymru Premier final at Penybont FC from the Football Association of Wales (second ticket gifted to a member of his team)
8634,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Wales v. France ticket and hospitality from BT
8634,6. Category 6: Financial sponsorship,6,Member,All 2021 election expenses covered by Plaid Cymru.
8634,8. Category 8: Land and property,8,Partner,"Residential property, Cardiff"
8634,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Pencoed Miners Welfare Hall
8634,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,School Governor - Pencoed Primary School (ceased)
8634,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Greyhound Rescue Wales
8634,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Baobab Bach (network of community pantries in Bridgend)
8634,11. Record of membership of societies,11,NA,Member of Mebyon Kernow
8634,11. Record of membership of societies,11,NA,Member of the Cuba Solidarity Campaign
