SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
375,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Neath Port Talbot Credit Union and Swansea Bay Credit Union (part of Celtic Credit Union)
375,12. Record of the employment of family members,12,Name: Claire Stowell,Capacity in which employed: Press and Research Officer (previously employed by Sandy Mewies AM during third Assembly)
375,12. Record of the employment of family members,12,Family Member of: Rebecca Evans MS,Date employment commenced: 11 May 2011
375,12. Record of the employment of family members,12,Relationship to MS: Sibling,Hours contracted to work: 18.5 hours per week
