SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
5112,"2. Category 2: Remunerated employment, office, profession etc",2,Spouse,Employed by Mark Drakeford MS as a Policy and Co-ordination Officer in the Senedd Labour Group Office.
5112,6. Category 6: Financial sponsorship,6,Candidate,"Senedd election expenses paid by Delyn Labour Party, including a donation in kind from Unite the Union"
5112,6. Category 6: Financial sponsorship,6,Member,Sponsorship of 2021 Christmas Card Competition by Nice-Pak International Ltd
5112,8. Category 8: Land and property,8,Member,Static Caravan (for private use) -  Anglesey
5112,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Unite the Union
5112,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - GMB Union
5112,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Unison
