SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
5207,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Two tickets to an opera performance in the Wales Millenium Centre on 19 March 2022 from the Welsh National Opera
5207,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Two tickets worth £70 each to attend the BBC Cardiff Singer of the World final in St David's Hall from BBC Wales
5207,6. Category 6: Financial sponsorship,6,Candidate,All 2021 election costs paid for by Plaid Cymru
5207,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - BBC National Chorus of Wales (the Member sings as a member of the choir)
5207,11. Record of membership of societies,11,NA,Member of Caerphilly Miners' Centre for the Community
