SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
336,1. Category 1: Directorships,1,Member,Unique Xavier – Property Management (SO 4.3 – Band 1 – Less than 5 hours per week).
336,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,"Motor Transport Awards dinner and drinks reception at the Grosvenor House Hotel, London on 2 September 2021, invited by the Road Haulage Association."
336,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Hospitality and ticket for Wales v. Belgium football match on Tuesday 14 November 2021.
336,7. Category 7: Overseas visits,7,Member,13 November 2022 to 17 November 2022 - Israel - To attend the Young Political Leaders Delegation seminar in Tel Aviv and Jerusalem for fact-finding discussion programme - paid for by The European Leadership Network (ELNET)
336,8. Category 8: Land and property,8,Member,Memorandum of trust in place for 3 residential properties (2 in Newport and 1 in London).
