SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
5030,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Royalties for the book ‘Wales – the First and Final Colony’ by Y Lolfa Ltd
5030,"2. Category 2: Remunerated employment, office, profession etc",2,Partner,Tribunal Judge in the Ministry of Justice
5030,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Received £600 from ITV Studios Limited & Lifted Entertainment for one recording session for Christmas University Challenge 2022 programme as a contestant. This is not ongoing work - it was one recording session of approximately 3 hours (SO 4.3 -Band 1 - Less than 5 hours per week)
5030,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Hospitality and ticket offered by S4C for Cymru v South Africa game. The Member and a staff member attended.
5030,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Hospitality and ticket offered by BBC Cymru for Cymru v Australia game. The Member and a guest attended.
5030,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Hospitality and ticket offered by FAW for Cymru v Austria game on 24 March 2022 (FIFA World Cup Play-Off Semi-Final). The Member and a staff member attended.
5030,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,"Hospitality, accommodation and travel covered by the European Free Alliance for the EFA General Assembly (from 11 May 2022 to 14 May 2022)."
5030,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Hospitality and ticket offered by FAW for Cymru v Ukraine (FIFA World Cup Play-Off Final) on 5 June 2022. The Member and a guest attended.
5030,5. Category 5: Remuneration or other material benefit,5,Candidate,Election 2021 costs paid by Plaid Cymru Carmarthen East and Dinefwr constituency party
5030,7. Category 7: Overseas visits,7,Member,"12 June 2022 - Catalonia - To take part in discussions under the theme, 'No stepping back: standing for democracy in the 21st century.' - Accommodation and connecting travel covered by Esquerra Republicana for Catalonia Progressive Forum."
5030,8. Category 8: Land and property,8,Partner,"Two rental properties, London"
5030,12. Record of the employment of family members,12,Name: Angela Owen Griffiths,Capacity in which employed: Communications Officer for Plaid Cymru Senedd Group
5030,12. Record of the employment of family members,12,Family Member of: Peredur Owen Griffiths,Date employment commenced: May 2020 (ceased on 1 May 2023)
5030,12. Record of the employment of family members,12,Relationship to the MS: Spouse,Contracted hours: 37
