SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
5021,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,One ticket to Neath v Bargoed rugby championship final at the Principality Stadium on 24 April 2022 from Chairman of Neath RFC
5021,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Two tickets and hospitality to Wales v Ukraine football match on 5 June 2022 from BT
5021,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,"One ticket and hospitality for Swansea City v Luton on 20 August 2022 from LCV Group, Skewen, Neath"
5021,6. Category 6: Financial sponsorship,6,Candidate,"All 2021 Senedd election campaign expenses met by Neath Constituency Labour Party including donations from GMB (£1500), UNITE (£1750), CWU(£200), Co-Operative Party (£700), LGBT Labour (£100)"
5021,6. Category 6: Financial sponsorship,6,Member,"Donations for Labour leadership campaign from: Mahaboob Basha, Trosol (translation business), David Flatt, Barry Lynch, Selena Booth, Barry Evans, Ian Morgan, Susan Griffiths, James Hadley (ceased), Kate Little, Matthew Gearing, Clive Jones, Liz Herbert McAvoy, Duraseal E W I Ltd (civil engineering company), Lancehawk (telecommunications company), Sanjiv Joshi, Robert Fellows, Dr Ahmed Salamat, use of office space from Low Cost Vans ltd - 18 December 2023 to 16 March 2024, Sabeel Shamsudeen, Sevenoaks Modular Ltd (timber frame manufacturers), Cashmere UK Ltd (Cwmni Eiddo ar Les)."
5021,8. Category 8: Land and property,8,Member,Jointly owns a residential tenanted property in Swansea.
5021,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Bevan Foundation
5021,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Celtic Credit Union
5021,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - GMB
5021,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - UNITE
5021,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member and patron of Resolven Building Blocks
5021,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Patron of Neath YMCA
5021,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Honorary President of Pontardawe Royal British Legion
,"
5021,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Honorary Patron of Neath Little Theatre
5021,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Patron of LGBT Labour
5021,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Honorary Vice President and Member of Neath Antiquarian Society
5021,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Unison
5021,11. Record of membership of societies,11,NA,Member - Neath Port Talbot Credit Union
5021,11. Record of membership of societies,11,NA,Member - My Green Valley
