SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
245,"2. Category 2: Remunerated employment, office, profession etc",2,Member,"Independent lead of a review of the School Holiday Enrichment Programme (SHEP) (promoted to learners and families under the ‘Food and Fun’ brand identity) for the Welsh Government on how provision can be maximised during the summer holidays to ensure they are reaching those children and young people who need it most. The review is intended to focus on building on the success of the SHEP programme, enhancing what already works and considering how best to draw in a broader cohort of participants. A final report and recommendations to be presented to the Cabinet Secretary of Education. (SO 4.3 - Band 2: Between 5 hours and 20 hours a week)"
245,6. Category 6: Financial sponsorship,6,Candidate,All Senedd 2021 election expenses met by Cardiff North CLP.
245,11. Record of membership of societies,11,NA,Member - RSPB
245,11. Record of membership of societies,11,NA,Member - National Trust
245,11. Record of membership of societies,11,NA,Member - Unite the Union
245,11. Record of membership of societies,11,NA,Member - Unison
245,11. Record of membership of societies,11,NA,Member - The Co-operative Party
245,11. Record of membership of societies,11,NA,Trustee - Life for African Mothers (ceased on 4 July 2023)
245,11. Record of membership of societies,11,NA,Vice-President - City Hospice (ceased 16 October 2023)
245,11. Record of membership of societies,11,NA,Patron - Ethnic Minority Welsh Women Achievement Association (EMWWAA)
