SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
249,"2. Category 2: Remunerated employment, office, profession etc",2,Spouse,Director at Thompsons Solicitors LLP
249,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,"Received painting of the constituency from a local constituent, which is of no monetary value. It will be displayed in the constituency office."
249,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Free use of a meeting room at Tramshed Tech on Monday 16 January from 9 to 11am.
249,6. Category 6: Financial sponsorship,6,Candidate,"Senedd 2021 election expenses of £11,001.41 were paid by Cardiff South & Penarth constituency Labour party."
249,6. Category 6: Financial sponsorship,6,Member,"Donations for Labour leadership campaign from: Tramsheds Tech Limited (remote office working space, December onward donation in kind), Dauson Environmental Group Limited (waste recycling), BCB International Limited (suppliers of outdoor survival gear), Christopher Loyn, Jeanne Marie Davies, Thompsons Solicitors LLP, Veezu Holdings Limited (taxi company), Huw Evans"
249,8. Category 8: Land and property,8,Spouse,Residential or rented property in Spain.
249,11. Record of membership of societies,11,NA,Member - Co-operative Party
249,11. Record of membership of societies,11,NA,Member - Unison the Union
249,11. Record of membership of societies,11,NA,Member - GMB Union
249,11. Record of membership of societies,11,NA,Member - Honorary Member of The British Veterinary Association
249,11. Record of membership of societies,11,NA,Member - Honorary Member of Penarth Sea Cadets
249,11. Record of membership of societies,11,NA,Member - Honorary Member of Penarth Civic Society
249,11. Record of membership of societies,11,NA,Member - Member of CF10 Arms Park Rugby Trust
249,11. Record of membership of societies,11,NA,Member - Royal British Legion
249,11. Record of membership of societies,11,NA,Member - Unite the Union
249,11. Record of membership of societies,11,NA,Member - Cadw
249,12. Record of the employment of family members,12,Name: Laura Murton,Capacity in which employed: Labour Group Policy and Co-ordination Officer
249,12. Record of the employment of family members,12,Family Member of: Hannah Blythyn MS,Date which employment commenced: 16 April 2024
249,12. Record of the employment of family members,12,Relationship to MS: Spouse,Hours contracted to work: 37
