SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
182,6. Category 6: Financial sponsorship,6,Member,2021 Welsh Parliament election expenses met by the Labour Party.
182,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Saveasy Credit Union
182,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - RSPB
182,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Barnados
182,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Vice President - Heart of Wales Line Travellers’ Association
182,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Woodland Trust
182,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Lifetime member - Centre for Alternative Technology
182,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Unite the Union
182,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Co-operative Party
182,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - The Wildlife Trust of South & West Wales
182,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - NSPCC
182,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Bevan Foundation
182,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Subscriber - The New Statesman
182,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,-,.
182,12. Record of the employment of family members,12,Name: Fiona Elizabeth Openshaw,Capacity in which employed: Researcher
182,12. Record of the employment of family members,12,Family Member of: Joyce Watson MS,Date employment commenced: 3 February 2015
182,12. Record of the employment of family members,12,Relationship to MS: Daughter,Hours contracted to work: 8 hours per week (from 7 January 2022) (previously 6 hours per week from September 2021 and 13 hours per week from May 2021).
