SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
5107,"2. Category 2: Remunerated employment, office, profession etc",2,Partner,"Partner is Hefin David MS, Member of the Senedd for Caerphilly"
5107,6. Category 6: Financial sponsorship,6,Candidate,All costs relating to 2021 Senedd election were met by Cynon Valley Constituency Labour Party.
5107,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Bevan Foundation
5107,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Co-operative Party
5107,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - GMB
5107,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - USDAW
5107,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Cynon Valley Museum
5107,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Patron - Mountain Ash and District Choral Society
5107,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Patron - Friends of Aberdare Park (ceased on 10 October 2024)
5107,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Trustee -  Rees Llewellyn Scholarship Fund (ceased on 20 September 2024)
5107,11. Record of membership of societies,11,NA,President - Friends R Us
5107,11. Record of membership of societies,11,NA,Vice-President - Cwmbach Male Voice Choir
5107,11. Record of membership of societies,11,NA,Member - Cynon Valley History Society
5107,11. Record of membership of societies,11,NA,Member - Governing body of Park Lane School (ceased on 20 September 2024)
