SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
269,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Councillor – Denbighshire County Council (S.O. 4.3 - Band 2 - Between 5 and 20 hours a week) (ceased).
269,"2. Category 2: Remunerated employment, office, profession etc",2,Spouse,Advocacy Projecct Manager with National Youth Advocacy Services (advocacy charity).
269,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Three tickets to see Liverpool FC v Leicester City in the Carabao cup on 22 December 2021 from Cynwyd Enterprises
269,6. Category 6: Financial sponsorship,6,Member,"All costs for the 2021 election campaign were paid for by Plaid Cymru, Dwyfor Meirionnydd."
269,8. Category 8: Land and property,8,Member and spouse,"Member and spouse own a house and 10 acres in Cynwyd, Denbighshire."
269,8. Category 8: Land and property,8,Member and spouse,Member and spouse own a house in Aberystwyth.
269,9. Category 9: Shareholdings,9,Member,Bought a £100 in Saith Seren (a Welsh-language and hospitality centre in Wrexham) when the centre was being established.
269,11. Record of membership of societies,11,NA,"Capel Bethel, Cynwyd"
269,11. Record of membership of societies,11,NA,Cymdeithas yr Iaith Gymraeg
269,11. Record of membership of societies,11,NA,CND Cymru
269,11. Record of membership of societies,11,NA,Cymdeithas y Cymod (The Fellowship of Reconciliation in Wales)
