SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
321,6. Category 6: Financial sponsorship,6,Candidate,"RMT Trade Union (£3,000) - paid to Pontypridd Constituency Labour Party."
321,11. Record of membership of societies,11,NA,Member – GMB
321,11. Record of membership of societies,11,NA,Member – Unison
321,11. Record of membership of societies,11,NA,Member – Musician’s Union
321,11. Record of membership of societies,11,NA,Member – Bevan Foundation
321,11. Record of membership of societies,11,NA,Member – Humanists UK
321,11. Record of membership of societies,11,NA,Member – League Against Cruel Sports
