SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
8687,1. Category 1: Directorships,1,Member,Bossa Nova Beers Ltd (company incorporated in 2014 and is currently dormant)
8687,"2. Category 2: Remunerated employment, office, profession etc",2,Member,County Councillor for Rhondda Cynon Taf County Borough Council (SO 4.3 - Band 2: Between 5 and 20 hours a week) (ceased)
8687,"2. Category 2: Remunerated employment, office, profession etc",2,Member,Community Councillor for Llantwit Fardre Community Council (SO 4.3 - Band 2: Between 5 and 20 hours a week)
8687,6. Category 6: Financial sponsorship,6,Member,2021 Senedd election expenses were met by the Welsh Conservative Party
8687,6. Category 6: Financial sponsorship,6,Member,Donation of £500 from Dan Clayton Jones given on the 3 July 2025 for the Member's re-election campaign
8687,6. Category 6: Financial sponsorship,6,Member,Monthly financial donation of £50 a month since December 2024 from Lee Gonzalez for the Member's re-election campaign.
8687,6. Category 6: Financial sponsorship,6,Member,Donation of £3500 from Cardiff North & West Conservative Association given on the 22 November 2025 for the Member's re-election campaign
8687,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,School Governor - Maesybryn Primary School (ceased)
8687,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Chairman and Trustee - Efail Isaf Village Hall Management Committee (Chairmanship ceased on 26 January 2025) (Trusteeship ceased on 11 September 2025)
8687,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Newtown Llantwit Communal Facilities Association
8687,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Trustee - Christmas Evan John Fund
8687,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Llafur: Welsh People's History Society
8687,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Rhondda Tunnel Society
8687,11. Record of membership of societies,11,NA,Member - Rhondda Cynon Taf Conservative Federation
8687,11. Record of membership of societies,11,NA,Member - Chartered Institute of Library and Information Professionals (ceased)
8687,11. Record of membership of societies,11,NA,Member - British Association for Shooting and Conservation
8687,11. Record of membership of societies,11,NA,Member - Cardiff North and West Conservative Federation
