SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
5038,"2. Category 2: Remunerated employment, office, profession etc",2,Member,"General survey completion on an occasional basis, all money is donated to local charities (Band 1: Less than 5 hours per week)"
5038,"2. Category 2: Remunerated employment, office, profession etc",2,Partner,Project Manager - Giant
5038,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Ticket and hospitality for Newport County V Southampton on 25 August 2021 from Newport County AFC
5038,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Dinner on 3 March 2022 organised by Tesco
5038,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Hospitality tickets for Dragons v Lions on Saturday 21 May 2022 from Dragons Rugby
5038,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,One matchday ticket and hospitality for Dragons vs Glasgow as guest of BT on 28 January 2023
5038,6. Category 6: Financial sponsorship,6,Candidate,2021 Senedd election expenses met by Newport West Constituency Labour Party which included a  donation from USDAW.
5038,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Member - Wales Arts Review,"
5038,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Ballet Cymru
5038,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member – Newport Credit Union
5038,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,President - Tredegar House Folk Festival
5038,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Vice President - Friends of Newport Transporter Bridge
5038,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Friends of Tredegar House
5038,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Newport Women's Forum
5038,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member of the Statue for Lady Rhondda steering group
5038,11. Record of membership of societies,11,NA,Member - Unison
5038,11. Record of membership of societies,11,NA,Member - Unite
5038,11. Record of membership of societies,11,NA,Member - Communication Workers Union
5038,11. Record of membership of societies,11,NA,Member - Wales Co-operative Party
5038,11. Record of membership of societies,11,NA,Member - Usdaw
5038,11. Record of membership of societies,11,NA,Member - Community Union
5038,11. Record of membership of societies,11,NA,"Vice-president - City of Newport Male Voice
Choir"
5038,11. Record of membership of societies,11,NA,Joint President – Newport Harriers Athletic Club
5038,11. Record of membership of societies,11,NA,Secretary - Newport Women's Forum
5038,11. Record of membership of societies,11,NA,.
