SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
518,"2. Category 2: Remunerated employment, office, profession etc",2,Partner,Legal assistant at Caerphilly County Borough Council
518,6. Category 6: Financial sponsorship,6,Member,All election expenses met by Plaid Cymru
518,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Chair of the Aber Valley Heritage Group
518,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member of Cwm Ifor Primary School Governors
